date,NAO,ENSO,v,Z_an,VPD_an,SKT_an,TP_an,SM_an,BA
1/9/2012,0.86,1.8,-0.791218148,-162.45636,-0.13498867,-0.70942223,2.552607,0.001772972,2.5971334
1/17/2012,0.86,1.8,1.888408198,-509.28635,0.031102788,-1.6014793,-1.8833522,0.007011512,4.445693
1/25/2012,0.86,1.8,5.965848022,-303.8526,0.27075505,-1.0974075,-2.6441793,0.010183187,41.811058
2/2/2012,0.03,0.8,-0.647124034,64.48581,-0.3630585,-0.8509842,1.6844292,0.009873219,47.966587
2/10/2012,0.03,0.8,-3.444415749,-165.32088,-0.67870796,-1.2542516,0.2884725,0.006254779,81.64934
2/18/2012,0.03,0.8,-3.399357215,46.490353,0.20749515,-0.9900532,-0.8380613,0.004609317,85.02568
2/26/2012,0.03,0.8,-1.184981461,-116.40561,-0.030456457,-0.8491242,0.3615382,0.003073289,81.33898
3/5/2012,0.93,1.2,0.683168799,-255.52942,0.2587997,-1.4477257,-1.2609783,0.001570266,59.708714
3/13/2012,0.93,1.2,-0.834605229,7.0406275,-0.06453503,-1.0508051,-1.9454067,-0.000710216,62.76677
3/21/2012,0.93,1.2,1.921546189,39.14182,0.69836605,-0.8326259,-4.5037646,-0.004827747,33.716087
3/29/2012,0.93,1.2,-2.128377832,221.02269,0.89367115,0.32801566,-3.3465612,-0.00463728,24.516611
4/6/2012,0.37,-0.4,-0.592898028,-46.658916,-0.58085,-0.16104493,1.347255,-0.00402063,19.58467
4/14/2012,0.37,-0.4,2.51677615,-115.493065,-1.1401552,-0.9208849,2.2378788,-0.003682673,34.001324
4/22/2012,0.37,-0.4,4.373939643,-313.59033,-1.8270394,-0.9145975,2.591848,-0.000273068,21.664183
4/30/2012,0.37,-0.4,-4.06981542,-363.8627,-0.1684694,-1.2392893,-3.8271723,0.004240579,19.766031
5/8/2012,-0.79,0.1,0.215273645,22.201765,-0.38337404,-0.61958915,-12.446745,0.000956316,19.452768
5/16/2012,-0.79,0.1,1.491960991,-193.895,1.080927,-0.15359996,-16.087713,-0.004433262,8.740287
5/24/2012,-0.79,0.1,1.360135548,-145.90033,2.0688174,0.41243768,-3.86637,-0.012533655,5.335723
6/1/2012,-2.25,-0.7,1.096469179,-42.351505,0.80104005,-0.03542208,-6.935467,-0.024039403,2.0520296
6/9/2012,-2.25,-0.7,1.080458707,-120.68424,1.1506466,0.14388588,-11.862222,-0.029778225,1.5707327
6/17/2012,-2.25,-0.7,0.792353048,-141.63263,0.3304599,-0.009240679,-3.5634484,-0.034968004,0.4962353
6/25/2012,-2.25,-0.7,-1.676975172,-128.68454,1.0234579,0.24135631,-3.4661849,-0.033836856,0.98413736
7/3/2012,-1.29,-0.1,-0.481210226,-156.31802,0.12395458,-0.004976868,-0.62642264,-0.032561015,1.4574938
7/11/2012,-1.29,-0.1,-1.381787035,125.76438,0.15249538,0.04881223,-5.8197393,-0.030857937,0.7136856
7/19/2012,-1.29,-0.1,-0.327481543,-106.0678,0.16619468,0.048905164,-8.208224,-0.026919574,1.1234752
7/27/2012,-1.29,-0.1,0.792908711,-120.4388,0.2261489,0.02820222,-6.1013327,-0.024234693,0.2038985
8/4/2012,-1.39,-0.3,-2.761963079,-140.39679,-0.34675768,-0.21466856,-1.0415899,-0.015815835,0.9867117
8/12/2012,-1.39,-0.3,0.708239488,-63.317036,0.32610142,0.32207596,-3.6881726,-0.011414351,0.6706871
8/20/2012,-1.39,-0.3,-0.779668046,22.289948,-0.18453059,-0.003076751,4.608265,-0.006371944,0.916764
8/28/2012,-1.39,-0.3,0.831974337,30.302313,-0.18320774,-0.06907921,12.780456,-0.002539073,0.48110798
9/5/2012,-0.43,0.4,0.152910321,27.009237,-0.9552246,-0.1260327,11.5336485,-0.00192016,0.26452848
9/13/2012,-0.43,0.4,-2.524861303,-9.376998,-0.91312706,-0.58606315,3.3183935,-0.000708857,2.0024433
9/21/2012,-0.43,0.4,1.79310675,-42.652184,0.27119902,-0.42078108,-8.121851,0.004014995,4.497101
9/29/2012,-0.43,0.4,2.418589826,97.42323,0.17064916,-0.4143206,-4.6429462,0.000985313,5.4876504
10/7/2012,-1.73,0.5,1.596560876,72.13856,0.43902254,-0.22399856,-6.0588017,0.001103925,67.676216
10/15/2012,-1.73,0.5,0.23784845,71.394844,-0.5230403,-0.7107648,-3.0707445,-0.003493009,27.591887
10/23/2012,-1.73,0.5,1.001252113,-70.591675,0.26118687,-0.3567799,0.98450744,-0.008736205,19.433422
10/31/2012,-1.73,0.5,1.910296793,-105.08872,-0.08473775,-0.22118872,-3.7290418,-0.01328449,21.425539
11/8/2012,-0.74,0.4,-0.280180968,-311.91632,0.2386124,-0.19160537,-2.575347,-0.008185153,4.8307185
11/16/2012,-0.74,0.4,0.747398003,180.37148,0.5340377,0.057865553,-6.363635,-0.007662594,2.5197058
11/24/2012,-0.74,0.4,0.141450878,-267.69672,0.12791093,-0.50813955,-0.28233987,-0.007507287,1.4859726
12/2/2012,0.07,-1,6.77809205,-30.761093,0.3808333,-0.14532243,-6.4248505,-0.005586138,2.3605356
12/10/2012,0.07,-1,2.007978221,-266.85178,-0.27673104,0.41711482,1.0289662,-0.010461938,0.7442189
12/18/2012,0.07,-1,1.877632734,-0.45329148,-0.18547536,-0.4073779,4.225658,-0.009280061,1.6817926
12/26/2012,0.07,-1,-7.255983706,-83.70126,-0.6474464,-0.77479213,4.2035084,-0.008331261,0.57608104
1/1/2013,-0.11,-0.1,-0.442837645,22.872011,-0.43848184,-0.900605,3.6700034,-0.008919829,2.645264
1/9/2013,-0.11,-0.1,-1.867424368,63.148537,0.28405377,-0.13860637,-3.3882663,-0.007702031,2.3226388
1/17/2013,-0.11,-0.1,8.234267489,53.61459,0.45658585,-0.4756098,1.8131331,-0.009595364,17.398481
1/25/2013,-0.11,-0.1,3.59535984,101.09773,0.5902949,0.3570094,-1.1551673,-0.01036887,9.698985
2/2/2013,-0.96,-0.4,-8.539691464,28.702784,-0.37666482,0.37823576,5.436221,-0.011805378,18.911083
2/10/2013,-0.96,-0.4,4.40902664,30.92884,-0.5634075,0.15297152,6.3775806,-0.00529205,30.158203
2/18/2013,-0.96,-0.4,1.252099029,-196.23227,-0.5698109,-0.5795316,1.5565408,-0.000191998,39.494938
2/26/2013,-0.96,-0.4,5.931891739,198.92438,1.056973,-0.2222381,-0.386276,0.005198674,39.81401
3/6/2013,-2.09,2.5,0.719055399,611.10016,0.5964956,0.77224636,0.2500255,0.005168126,35.879997
